,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2765,Nike Air Max 1 By You,Custom Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-air-max-1-shoes-by-you-10001923/5257145233,,170,0,170
2766,Nike Air Max 1 By You,Custom Shoes,FOOTWEAR,,Green,https://www.nike.com/u/custom-air-max-1-shoes-by-you-10001923/7884072836,,170,0,170
2767,Nike Air Max 1 By You,Custom Shoes,FOOTWEAR,,Brown,https://www.nike.com/u/custom-air-max-1-shoes-by-you-10001923/9977439512,,170,0,170
2768,Nike G.T. Cut Academy By You,Custom Basketball Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-gt-cut-academy-10001922/2384083055,,120,0,120
2769,Nike G.T. Cut Academy By You,Custom Basketball Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-gt-cut-academy-10001922/6213866831,,120,0,120
2770,Nike G.T. Cut Academy By You,Custom Basketball Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-gt-cut-academy-10001922/9711966055,,120,0,120
2771,Nike Blazer Low '77 By You,Custom Men's Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001280/2474643534,,115,0,115
2772,Nike Blazer Low '77 By You,Custom Men's Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001280/6358708613,,115,0,115
2773,Nike Blazer Low '77 By You,Custom Men's Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001280/8503720255,,115,0,115
2774,Nike Blazer Low '77 By You,Custom Men's Shoes,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001280/9323980455,,115,0,115
2775,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,Grey,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/2519044678,,140,0,140
2776,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/5583190082,,140,0,140
2777,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/7075592019,,140,0,140
2778,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/7095408718,,140,0,140
